SIGMA-LI,DateOf,cecha1,cecha2
PPR-20K,2/3/2012,10,2.1
PPR-20K,3/5/2012,60,12.6
PPR-20K,2/28/2012,50,10.5
PPR-20K,2/28/2012,50,10.5
PPR-20K,3/1/2012,10,2.1
PPR-20K,3/1/2012,20,4.2
PPR-20K,3/9/2012,20,4.2
PPR-20K,3/6/2012,30,6.3
PPR-20K,3/9/2012,20,4.2
PPR-20K,3/9/2012,30,6.3
PPR-20K,3/1/2012,20,4.2
PPR-20K,3/13/2012,40,8.4
PPR-20K,3/7/2012,20,4.2
PPR-20K,3/8/2012,20,4.2
PPR-20K,3/8/2012,200,42
PPR-20K,3/8/2012,24,5.04
PPR-20K,3/19/2012,200,44
PPR-20K,3/16/2012,30,6.3
PPR-20K,3/16/2012,121,25.41
PPR-20K,3/16/2012,179,39.38
PPR-20K,3/16/2012,100,22
PPR-20K,3/21/2012,1200,264
PPR-20K,3/17/2012,16,3.52
PPR-20K,4/5/2012,10,2.2
PPR-20K,4/5/2012,100,22
PPR-20K,4/12/2012,30,6.6
PPR-20K,4/4/2012,10,2.2
PPR-20K,3/23/2012,50,11
PPR-20K,5/2/2012,200,44
PPR-20K,5/2/2012,200,44
PPR-20K,5/2/2012,200,44
PPR-20K,5/2/2012,200,44
PPR-20K,5/2/2012,200,44
PPR-20K,5/2/2012,200,44
PPR-20K,5/2/2012,200,44
PPR-20K,5/2/2012,200,44
PPR-20K,4/13/2012,20,4.4
PPR-20K,5/16/2012,125,27.5
PPR-20K,5/16/2012,175,38.5
PPR-20K,5/7/2012,175,38.5
PPR-20K,5/7/2012,25,5.5
PPR-20K,3/26/2012,10,2.2
PPR-20K,4/16/2012,10,2.2
PPR-20K,5/4/2012,50,11
PPR-20K,5/4/2012,10,2.2
PPR-20K,3/27/2012,45,9.9
PPR-20K,3/27/2012,5,1.1
PPR-20K,5/2/2012,20,4.4
PPR-20K,5/2/2012,20,4.4
PPR-20K,5/7/2012,100,22
PPR-20K,5/7/2012,10,2.2
PPR-20K,4/18/2012,30,6.6
PPR-20K,5/9/2012,20,4.4
PPR-20K,5/14/2012,40,8.8
PPR-20K,3/29/2012,10,2.2
PPR-20K,5/9/2012,50,11
