SIGMA-LI,DateOf,cecha1,cecha2
PPR-R20PN20,1/23/2012,24,38.64
PPR-R20PN20,1/23/2012,4,6.44
PPR-R20PN20,1/23/2012,12,19.32
PPR-R20PN20,1/19/2012,4,6.44
PPR-R20PN20,1/21/2012,100,161
PPR-R20PN20,2/8/2012,40,64.4
PPR-R20PN20,1/24/2012,40,64.4
PPR-R20PN20,2/7/2012,400,644
PPR-R20PN20,2/9/2012,20,32.2
PPR-R20PN20,2/9/2012,320,515.2
PPR-R20PN20,2/10/2012,80,128.8
PPR-R20PN20,2/10/2012,4,6.44
PPR-R20PN20,1/26/2012,12,19.32
PPR-R20PN20,2/17/2012,4,6.44
PPR-R20PN20,2/20/2012,16,25.76
PPR-R20PN20,2/20/2012,32,51.52
PPR-R20PN20,2/20/2012,32,51.52
PPR-R20PN20,2/3/2012,8,12.88
PPR-R20PN20,3/5/2012,40,64.4
PPR-R20PN20,3/5/2012,400,644
PPR-R20PN20,2/22/2012,28,45.08
PPR-R20PN20,2/28/2012,8,12.88
PPR-R20PN20,2/28/2012,192,309.12
PPR-R20PN20,3/12/2012,100,161
PPR-R20PN20,2/28/2012,20,32.2
PPR-R20PN20,2/23/2012,8,12.88
PPR-R20PN20,3/9/2012,12,19.32
PPR-R20PN20,3/13/2012,60,96.6
PPR-R20PN20,3/7/2012,16,25.76
PPR-R20PN20,3/8/2012,200,322
PPR-R20PN20,3/19/2012,200,322
PPR-R20PN20,3/21/2012,400,644
PPR-R20PN20,3/17/2012,12,19.32
PPR-R20PN20,4/5/2012,16,25.76
PPR-R20PN20,4/5/2012,20,32.2
PPR-R20PN20,4/3/2012,100,161
PPR-R20PN20,4/4/2012,4,6.44
PPR-R20PN20,4/4/2012,4,6.44
PPR-R20PN20,3/23/2012,20,32.2
PPR-R20PN20,4/12/2012,320,515.2
PPR-R20PN20,4/12/2012,40,64.4
PPR-R20PN20,4/12/2012,40,64.4
PPR-R20PN20,5/2/2012,200,322
PPR-R20PN20,5/2/2012,200,322
PPR-R20PN20,5/2/2012,200,322
PPR-R20PN20,5/2/2012,200,322
PPR-R20PN20,5/2/2012,200,322
PPR-R20PN20,5/2/2012,200,322
PPR-R20PN20,5/2/2012,200,322
PPR-R20PN20,5/2/2012,200,322
PPR-R20PN20,5/2/2012,200,322
PPR-R20PN20,5/2/2012,200,322
PPR-R20PN20,3/26/2012,4,6.44
PPR-R20PN20,5/4/2012,36,57.96
PPR-R20PN20,5/7/2012,100,161
PPR-R20PN20,4/18/2012,28,45.08
PPR-R20PN20,3/29/2012,24,38.64
PPR-R20PN20,5/9/2012,40,64.4
PPR-R20PN20,5/10/2012,24,38.64
PPR-R20PN20,5/10/2012,8,12.88
PPR-R20PN20,4/19/2012,40,64.4
PPR-R20PN20,5/11/2012,28,45.08
PPR-R20PN20,4/19/2012,200,322
PPR-R20PN20,5/14/2012,40,64.4
PPR-R20PN20,4/20/2012,92,148.12
PPR-R20PN20,4/20/2012,8,12.88
PPR-R20PN20,5/18/2012,80,128.8
PPR-R20PN20,4/23/2012,320,515.2
PPR-R20PN20,4/23/2012,4,6.44
PPR-R20PN20,4/24/2012,60,96.6
PPR-R20PN20,5/25/2012,40,64.4
PPR-R20PN20,6/1/2012,4,6.44
PPR-R20PN20,6/1/2012,196,315.56
PPR-R20PN20,6/1/2012,4,6.44
PPR-R20PN20,6/1/2012,36,57.96
PPR-R20PN20,6/5/2012,64,103.04
PPR-R20PN20,6/5/2012,36,57.96
PPR-R20PN20,6/5/2012,100,161
PPR-R20PN20,6/4/2012,100,161
PPR-R20PN20,6/6/2012,40,64.4
PPR-R20PN20,6/11/2012,24,38.64
PPR-R20PN20,6/11/2012,8,12.88
PPR-R20PN20,6/11/2012,8,12.88
PPR-R20PN20,6/11/2012,100,161
PPR-R20PN20,5/2/2012,0,0
PPR-R20PN20,5/2/2012,8,12.88
PPR-R20PN20,6/16/2012,84,135.24
PPR-R20PN20,6/16/2012,16,25.76
PPR-R20PN20,6/20/2012,64,103.04
PPR-R20PN20,6/22/2012,4,6.44
PPR-R20PN20,6/21/2012,100,161
PPR-R20PN20,6/22/2012,4,6.44
PPR-R20PN20,6/26/2012,200,336
PPR-R20PN20,6/26/2012,200,336
PPR-R20PN20,6/26/2012,4,6.44
PPR-R20PN20,6/26/2012,12,19.32
PPR-R20PN20,7/2/2012,20,32.2
PPR-R20PN20,7/4/2012,40,64.4
PPR-R20PN20,7/2/2012,8,12.88
PPR-R20PN20,7/11/2012,40,64.4
PPR-R20PN20,7/13/2012,60,96.6
PPR-R20PN20,7/17/2012,32,51.52
PPR-R20PN20,7/17/2012,168,270.48
PPR-R20PN20,7/18/2012,200,322
PPR-R20PN20,7/18/2012,32,51.52
PPR-R20PN20,7/18/2012,4,6.44
PPR-R20PN20,7/18/2012,164,275.52
PPR-R20PN20,7/18/2012,200,320
PPR-R20PN20,7/18/2012,200,320
PPR-R20PN20,7/18/2012,200,320
PPR-R20PN20,7/18/2012,200,320
PPR-R20PN20,8/1/2012,12,20.16
PPR-R20PN20,7/27/2012,200,320
PPR-R20PN20,7/27/2012,200,320
PPR-R20PN20,7/27/2012,200,320
PPR-R20PN20,7/26/2012,24,40.32
PPR-R20PN20,7/26/2012,200,336
PPR-R20PN20,7/26/2012,176,281.6
PPR-R20PN20,7/30/2012,4,6.4
PPR-R20PN20,8/7/2012,40,64
PPR-R20PN20,8/3/2012,20,32
PPR-R20PN20,8/3/2012,20,32
PPR-R20PN20,8/8/2012,40,64
PPR-R20PN20,8/13/2012,200,320
PPR-R20PN20,8/13/2012,200,320
PPR-R20PN20,8/14/2012,60,96
PPR-R20PN20,8/22/2012,40,64
PPR-R20PN20,8/22/2012,160,256
PPR-R20PN20,9/1/2012,12,19.2
PPR-R20PN20,9/1/2012,8,12.8
PPR-R20PN20,8/27/2012,32,51.2
PPR-R20PN20,8/27/2012,200,320
PPR-R20PN20,8/27/2012,168,268.8
PPR-R20PN20,8/29/2012,20,32
PPR-R20PN20,8/29/2012,180,288
PPR-R20PN20,8/31/2012,20,32
PPR-R20PN20,8/31/2012,20,32
PPR-R20PN20,9/4/2012,200,320
PPR-R20PN20,9/4/2012,200,320
PPR-R20PN20,9/7/2012,4,6.4
PPR-R20PN20,9/10/2012,4,6.4
PPR-R20PN20,9/10/2012,4,6.4
PPR-R20PN20,9/10/2012,176,281.6
PPR-R20PN20,9/10/2012,200,320
PPR-R20PN20,9/10/2012,24,38.4
PPR-R20PN20,9/13/2012,200,320
PPR-R20PN20,9/13/2012,200,320
PPR-R20PN20,9/13/2012,200,320
PPR-R20PN20,9/17/2012,2,3.2
PPR-R20PN20,9/14/2012,40,64
PPR-R20PN20,9/17/2012,30,48
PPR-R20PN20,9/25/2012,2,3.2
PPR-R20PN20,9/24/2012,40,64
PPR-R20PN20,9/27/2012,58,92.8
PPR-R20PN20,9/27/2012,142,227.2
PPR-R20PN20,10/2/2012,200,320
PPR-R20PN20,10/2/2012,200,320
PPR-R20PN20,10/3/2012,20,32
PPR-R20PN20,10/3/2012,38,60.8
PPR-R20PN20,10/3/2012,2,3.2
PPR-R20PN20,10/8/2012,8,12.8
PPR-R20PN20,10/8/2012,190,304
PPR-R20PN20,10/8/2012,4,6.4
PPR-R20PN20,10/8/2012,6,9.6
PPR-R20PN20,10/10/2012,40,64
PPR-R20PN20,10/15/2012,8,12.8
